run_id,method,workload_id,profile,memory_request_mi,peak_memory_mi
comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_small-r03-medium,static_default,ml_sklearn_fit_small,medium,732,15.422
comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_medium-r02-large,intent_only,ml_sklearn_fit_medium,large,1464,15.285
comparative-39b6973-seed20260720-static_default-boundary_below_0_5_ambiguous-r04-medium,static_default,boundary_below_0_5_ambiguous,medium,732,15.473
comparative-39b6973-seed20260720-intent_only-data_pandas_read_transform-r02-medium,intent_only,data_pandas_read_transform,medium,732,15.434
comparative-39b6973-seed20260720-intent_only-boundary_below_0_5_ambiguous-r00-small,intent_only,boundary_below_0_5_ambiguous,small,244,16.0
comparative-39b6973-seed20260720-context_aware-light_basic_python-r01-small,context_aware,light_basic_python,small,244,15.148
comparative-39b6973-seed20260720-context_aware-light_small_csv_read-r02-medium,context_aware,light_small_csv_read,medium,732,15.57
comparative-39b6973-seed20260720-intent_only-boundary_below_0_5_ambiguous-r04-small,intent_only,boundary_below_0_5_ambiguous,small,244,15.539
comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_small-r02-medium,intent_only,ml_sklearn_fit_small,medium,732,15.445
comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_medium-r00-large,context_aware,ml_sklearn_fit_medium,large,1464,15.27
comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_small-r04-medium,context_aware,ml_sklearn_fit_small,medium,732,15.34
comparative-39b6973-seed20260720-static_default-data_pandas_read_transform-r04-medium,static_default,data_pandas_read_transform,medium,732,19.793
comparative-39b6973-seed20260720-static_default-light_visual_aggregation-r01-medium,static_default,light_visual_aggregation,medium,732,15.68
comparative-39b6973-seed20260720-intent_only-boundary_above_0_5_conflicting-r02-medium,intent_only,boundary_above_0_5_conflicting,medium,732,15.211
comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_memory_pressure-r04-medium,static_default,ml_sklearn_fit_memory_pressure,medium,732,207.777
comparative-39b6973-seed20260720-static_default-light_visual_aggregation-r04-medium,static_default,light_visual_aggregation,medium,732,16.105
comparative-39b6973-seed20260720-context_aware-light_small_csv_read-r01-medium,context_aware,light_small_csv_read,medium,732,15.781
comparative-39b6973-seed20260720-intent_only-data_dataframe_join_medium-r03-small,intent_only,data_dataframe_join_medium,small,244,15.805
comparative-39b6973-seed20260720-intent_only-light_small_csv_read-r00-medium,intent_only,light_small_csv_read,medium,732,15.789
comparative-39b6973-seed20260720-static_default-boundary_below_0_5_ambiguous-r03-medium,static_default,boundary_below_0_5_ambiguous,medium,732,15.824
comparative-39b6973-seed20260720-intent_only-light_small_csv_read-r03-medium,intent_only,light_small_csv_read,medium,732,15.359
comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_memory_pressure-r04-large,context_aware,ml_sklearn_fit_memory_pressure,large,1464,207.531
comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_medium-r03-large,context_aware,ml_sklearn_fit_medium,large,1464,15.637
comparative-39b6973-seed20260720-context_aware-boundary_above_0_5_conflicting-r04-large,context_aware,boundary_above_0_5_conflicting,large,1464,15.25
comparative-39b6973-seed20260720-context_aware-light_small_csv_read-r04-medium,context_aware,light_small_csv_read,medium,732,16.145
comparative-39b6973-seed20260720-static_default-boundary_below_0_5_ambiguous-r01-medium,static_default,boundary_below_0_5_ambiguous,medium,732,15.852
comparative-39b6973-seed20260720-context_aware-data_large_aggregation-r02-large,context_aware,data_large_aggregation,large,1464,15.738
comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_memory_pressure-r02-large,context_aware,ml_sklearn_fit_memory_pressure,large,1464,208.207
comparative-39b6973-seed20260720-static_default-data_pandas_read_transform-r02-medium,static_default,data_pandas_read_transform,medium,732,15.602
comparative-39b6973-seed20260720-intent_only-data_large_aggregation-r02-medium,intent_only,data_large_aggregation,medium,732,16.051
comparative-39b6973-seed20260720-context_aware-boundary_above_0_5_conflicting-r02-large,context_aware,boundary_above_0_5_conflicting,large,1464,15.57
comparative-39b6973-seed20260720-context_aware-data_pandas_read_transform-r04-medium,context_aware,data_pandas_read_transform,medium,732,15.34
comparative-39b6973-seed20260720-static_default-data_dataframe_join_medium-r00-medium,static_default,data_dataframe_join_medium,medium,732,15.742
comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_memory_pressure-r03-medium,intent_only,ml_sklearn_fit_memory_pressure,medium,732,207.508
comparative-39b6973-seed20260720-static_default-light_visual_aggregation-r03-medium,static_default,light_visual_aggregation,medium,732,15.918
comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_medium-r01-medium,static_default,ml_sklearn_fit_medium,medium,732,15.211
comparative-39b6973-seed20260720-static_default-policy_gpu_disallowed-r03-medium,static_default,policy_gpu_disallowed,medium,732,19.977
comparative-39b6973-seed20260720-intent_only-boundary_below_0_5_ambiguous-r03-small,intent_only,boundary_below_0_5_ambiguous,small,244,15.738
comparative-39b6973-seed20260720-context_aware-boundary_above_0_5_conflicting-r00-large,context_aware,boundary_above_0_5_conflicting,large,1464,15.555
comparative-39b6973-seed20260720-intent_only-light_basic_python-r02-small,intent_only,light_basic_python,small,244,15.758
comparative-39b6973-seed20260720-intent_only-boundary_below_0_5_ambiguous-r01-small,intent_only,boundary_below_0_5_ambiguous,small,244,15.543
comparative-39b6973-seed20260720-context_aware-light_basic_python-r04-small,context_aware,light_basic_python,small,244,15.273
comparative-39b6973-seed20260720-static_default-policy_gpu_disallowed-r04-medium,static_default,policy_gpu_disallowed,medium,732,15.035
comparative-39b6973-seed20260720-static_default-data_pandas_read_transform-r01-medium,static_default,data_pandas_read_transform,medium,732,15.504
comparative-39b6973-seed20260720-intent_only-light_small_csv_read-r02-medium,intent_only,light_small_csv_read,medium,732,15.312
comparative-39b6973-seed20260720-context_aware-light_visual_aggregation-r01-small,context_aware,light_visual_aggregation,small,244,15.625
comparative-39b6973-seed20260720-static_default-boundary_below_0_5_ambiguous-r00-medium,static_default,boundary_below_0_5_ambiguous,medium,732,15.785
comparative-39b6973-seed20260720-context_aware-light_visual_aggregation-r03-small,context_aware,light_visual_aggregation,small,244,16.195
comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_medium-r02-large,context_aware,ml_sklearn_fit_medium,large,1464,15.367
comparative-39b6973-seed20260720-context_aware-data_large_aggregation-r03-large,context_aware,data_large_aggregation,large,1464,15.406
comparative-39b6973-seed20260720-intent_only-data_dataframe_join_medium-r00-small,intent_only,data_dataframe_join_medium,small,244,15.266
comparative-39b6973-seed20260720-static_default-boundary_above_0_5_conflicting-r00-medium,static_default,boundary_above_0_5_conflicting,medium,732,15.906
comparative-39b6973-seed20260720-intent_only-data_dataframe_join_medium-r04-small,intent_only,data_dataframe_join_medium,small,244,15.406
comparative-39b6973-seed20260720-static_default-light_basic_python-r01-medium,static_default,light_basic_python,medium,732,15.68
comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_medium-r01-large,intent_only,ml_sklearn_fit_medium,large,1464,15.25
comparative-39b6973-seed20260720-intent_only-policy_gpu_disallowed-r01-small,intent_only,policy_gpu_disallowed,small,244,15.242
comparative-39b6973-seed20260720-static_default-light_small_csv_read-r00-medium,static_default,light_small_csv_read,medium,732,15.516
comparative-39b6973-seed20260720-context_aware-data_large_aggregation-r04-large,context_aware,data_large_aggregation,large,1464,16.105
comparative-39b6973-seed20260720-context_aware-light_basic_python-r02-small,context_aware,light_basic_python,small,244,15.316
comparative-39b6973-seed20260720-static_default-data_pandas_read_transform-r00-medium,static_default,data_pandas_read_transform,medium,732,15.637
comparative-39b6973-seed20260720-intent_only-data_pandas_read_transform-r01-medium,intent_only,data_pandas_read_transform,medium,732,15.383
comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_medium-r04-large,context_aware,ml_sklearn_fit_medium,large,1464,15.27
comparative-39b6973-seed20260720-intent_only-data_large_aggregation-r01-medium,intent_only,data_large_aggregation,medium,732,15.789
comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_medium-r02-medium,static_default,ml_sklearn_fit_medium,medium,732,15.492
comparative-39b6973-seed20260720-context_aware-light_small_csv_read-r00-medium,context_aware,light_small_csv_read,medium,732,15.379
