applied_profile,category,cleanup_status,context_signal_summary,cpu_limit_m,cpu_request_m,cpu_request_to_peak_ratio,dataset_size_hint_gb,environment_id,error_message,excluded_from_comparative_summary,exclusion_reason,exit_code,exit_reason,expected_acceptable_profiles,expected_pressure_type,expected_recommender_profiles,git_commit,input_intent,kubernetes_evidence,memory_limit_mi,memory_request_mi,memory_request_to_peak_ratio,method,missing_peak_cpu,missing_peak_memory,missing_pending_time,missing_restart_count,oom_killed,peak_cpu_m,peak_memory_mi,pod_pending_duration_seconds,policy_warnings,profile_delta,random_seed,recommendation_outcome,recommendation_reasons,recommended_profile,repeat_index,resource_measurement_source,restart_or_respawn_count,run_id,schema_version,success,supporting_log_paths,time_to_success_seconds,timeout,timestamp,workload_id,workload_runtime_seconds
large,conflicting_signal,completed,"{""dataset_size_signal_used"":true,""detected_terms"":[""model""],""hint_count"":2,""raw_context_available"":true,""raw_context_stored"":false}",2000,1500,,0.51,local-benchmark-orbstack-no-metrics,,False,,0,Completed,"[""medium"",""large""]",conflicting_intent_context,"[""large""]",fea62042374075e0abc724d2dfcd7752cb3bf865,Train a model if the data turns out to be useful.,{},1907,1464,69.714286,context_aware,True,False,True,False,False,,21,,[],0,202607195101,acceptable,"[""dataset size >= 0.5GB"",""training/modeling context detected: train, model""]",large,0,python_resource_getrusage,0,20260719T140431Z-matrix-aed48949-context_aware-boundary_above_0_5_conflicting-r00,1.0.0,True,"[""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-context_aware-boundary_above_0_5_conflicting-r00/boundary_above_0_5_conflicting/workload_stdout.jsonl"",""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-context_aware-boundary_above_0_5_conflicting-r00/boundary_above_0_5_conflicting/workload_stderr.txt""]",0.051521,False,2026-07-19T14:05:24Z,boundary_above_0_5_conflicting,0.051521
large,conflicting_signal,completed,"{""dataset_size_signal_used"":true,""detected_terms"":[""model""],""hint_count"":2,""raw_context_available"":true,""raw_context_stored"":false}",2000,1500,,0.51,local-benchmark-orbstack-no-metrics,,False,,0,Completed,"[""medium"",""large""]",conflicting_intent_context,"[""large""]",fea62042374075e0abc724d2dfcd7752cb3bf865,Train a model if the data turns out to be useful.,{},1907,1464,73.2,context_aware,True,False,True,False,False,,20,,[],0,202607195102,acceptable,"[""dataset size >= 0.5GB"",""training/modeling context detected: train, model""]",large,1,python_resource_getrusage,0,20260719T140431Z-matrix-aed48949-context_aware-boundary_above_0_5_conflicting-r01,1.0.0,True,"[""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-context_aware-boundary_above_0_5_conflicting-r01/boundary_above_0_5_conflicting/workload_stdout.jsonl"",""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-context_aware-boundary_above_0_5_conflicting-r01/boundary_above_0_5_conflicting/workload_stderr.txt""]",0.049915,False,2026-07-19T14:05:24Z,boundary_above_0_5_conflicting,0.049915
large,conflicting_signal,completed,"{""dataset_size_signal_used"":true,""detected_terms"":[""model""],""hint_count"":2,""raw_context_available"":true,""raw_context_stored"":false}",2000,1500,,0.51,local-benchmark-orbstack-no-metrics,,False,,0,Completed,"[""medium"",""large""]",conflicting_intent_context,"[""large""]",fea62042374075e0abc724d2dfcd7752cb3bf865,Train a model if the data turns out to be useful.,{},1907,1464,73.2,context_aware,True,False,True,False,False,,20,,[],0,202607195103,acceptable,"[""dataset size >= 0.5GB"",""training/modeling context detected: train, model""]",large,2,python_resource_getrusage,0,20260719T140431Z-matrix-aed48949-context_aware-boundary_above_0_5_conflicting-r02,1.0.0,True,"[""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-context_aware-boundary_above_0_5_conflicting-r02/boundary_above_0_5_conflicting/workload_stdout.jsonl"",""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-context_aware-boundary_above_0_5_conflicting-r02/boundary_above_0_5_conflicting/workload_stderr.txt""]",0.050639,False,2026-07-19T14:05:24Z,boundary_above_0_5_conflicting,0.050639
large,conflicting_signal,completed,"{""dataset_size_signal_used"":true,""detected_terms"":[""model""],""hint_count"":2,""raw_context_available"":true,""raw_context_stored"":false}",2000,1500,,0.51,local-benchmark-orbstack-no-metrics,,False,,0,Completed,"[""medium"",""large""]",conflicting_intent_context,"[""large""]",fea62042374075e0abc724d2dfcd7752cb3bf865,Train a model if the data turns out to be useful.,{},1907,1464,73.2,context_aware,True,False,True,False,False,,20,,[],0,202607195104,acceptable,"[""dataset size >= 0.5GB"",""training/modeling context detected: train, model""]",large,3,python_resource_getrusage,0,20260719T140431Z-matrix-aed48949-context_aware-boundary_above_0_5_conflicting-r03,1.0.0,True,"[""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-context_aware-boundary_above_0_5_conflicting-r03/boundary_above_0_5_conflicting/workload_stdout.jsonl"",""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-context_aware-boundary_above_0_5_conflicting-r03/boundary_above_0_5_conflicting/workload_stderr.txt""]",0.051241,False,2026-07-19T14:05:24Z,boundary_above_0_5_conflicting,0.051241
large,conflicting_signal,completed,"{""dataset_size_signal_used"":true,""detected_terms"":[""model""],""hint_count"":2,""raw_context_available"":true,""raw_context_stored"":false}",2000,1500,,0.51,local-benchmark-orbstack-no-metrics,,False,,0,Completed,"[""medium"",""large""]",conflicting_intent_context,"[""large""]",fea62042374075e0abc724d2dfcd7752cb3bf865,Train a model if the data turns out to be useful.,{},1907,1464,69.714286,context_aware,True,False,True,False,False,,21,,[],0,202607195105,acceptable,"[""dataset size >= 0.5GB"",""training/modeling context detected: train, model""]",large,4,python_resource_getrusage,0,20260719T140431Z-matrix-aed48949-context_aware-boundary_above_0_5_conflicting-r04,1.0.0,True,"[""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-context_aware-boundary_above_0_5_conflicting-r04/boundary_above_0_5_conflicting/workload_stdout.jsonl"",""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-context_aware-boundary_above_0_5_conflicting-r04/boundary_above_0_5_conflicting/workload_stderr.txt""]",0.050492,False,2026-07-19T14:05:24Z,boundary_above_0_5_conflicting,0.050492
small,boundary,completed,"{""dataset_size_signal_used"":false,""detected_terms"":[],""hint_count"":0,""raw_context_available"":false,""raw_context_stored"":false}",500,100,,0.49,local-benchmark-orbstack-no-metrics,,False,,0,Completed,"[""small"",""medium""]",boundary_low_signal,"[""small""]",fea62042374075e0abc724d2dfcd7752cb3bf865,Maybe inspect something briefly; I am not sure yet.,{},366,244,11.090909,static_manual,True,False,True,False,False,,22,,[],0,202607194101,acceptable,"[""static/manual deterministic policy selected the smallest approved acceptable profile""]",,0,python_resource_getrusage,0,20260719T140431Z-matrix-aed48949-static_manual-boundary_below_0_5_ambiguous-r00,1.0.0,True,"[""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-static_manual-boundary_below_0_5_ambiguous-r00/boundary_below_0_5_ambiguous/workload_stdout.jsonl"",""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-static_manual-boundary_below_0_5_ambiguous-r00/boundary_below_0_5_ambiguous/workload_stderr.txt""]",0.001763,False,2026-07-19T14:05:22Z,boundary_below_0_5_ambiguous,0.001763
small,boundary,completed,"{""dataset_size_signal_used"":false,""detected_terms"":[],""hint_count"":0,""raw_context_available"":false,""raw_context_stored"":false}",500,100,,0.49,local-benchmark-orbstack-no-metrics,,False,,0,Completed,"[""small"",""medium""]",boundary_low_signal,"[""small""]",fea62042374075e0abc724d2dfcd7752cb3bf865,Maybe inspect something briefly; I am not sure yet.,{},366,244,11.619048,static_manual,True,False,True,False,False,,21,,[],0,202607194102,acceptable,"[""static/manual deterministic policy selected the smallest approved acceptable profile""]",,1,python_resource_getrusage,0,20260719T140431Z-matrix-aed48949-static_manual-boundary_below_0_5_ambiguous-r01,1.0.0,True,"[""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-static_manual-boundary_below_0_5_ambiguous-r01/boundary_below_0_5_ambiguous/workload_stdout.jsonl"",""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-static_manual-boundary_below_0_5_ambiguous-r01/boundary_below_0_5_ambiguous/workload_stderr.txt""]",0.00178,False,2026-07-19T14:05:22Z,boundary_below_0_5_ambiguous,0.00178
small,boundary,completed,"{""dataset_size_signal_used"":false,""detected_terms"":[],""hint_count"":0,""raw_context_available"":false,""raw_context_stored"":false}",500,100,,0.49,local-benchmark-orbstack-no-metrics,,False,,0,Completed,"[""small"",""medium""]",boundary_low_signal,"[""small""]",fea62042374075e0abc724d2dfcd7752cb3bf865,Maybe inspect something briefly; I am not sure yet.,{},366,244,11.619048,static_manual,True,False,True,False,False,,21,,[],0,202607194103,acceptable,"[""static/manual deterministic policy selected the smallest approved acceptable profile""]",,2,python_resource_getrusage,0,20260719T140431Z-matrix-aed48949-static_manual-boundary_below_0_5_ambiguous-r02,1.0.0,True,"[""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-static_manual-boundary_below_0_5_ambiguous-r02/boundary_below_0_5_ambiguous/workload_stdout.jsonl"",""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-static_manual-boundary_below_0_5_ambiguous-r02/boundary_below_0_5_ambiguous/workload_stderr.txt""]",0.002168,False,2026-07-19T14:05:22Z,boundary_below_0_5_ambiguous,0.002168
small,boundary,completed,"{""dataset_size_signal_used"":false,""detected_terms"":[],""hint_count"":0,""raw_context_available"":false,""raw_context_stored"":false}",500,100,,0.49,local-benchmark-orbstack-no-metrics,,False,,0,Completed,"[""small"",""medium""]",boundary_low_signal,"[""small""]",fea62042374075e0abc724d2dfcd7752cb3bf865,Maybe inspect something briefly; I am not sure yet.,{},366,244,11.619048,static_manual,True,False,True,False,False,,21,,[],0,202607194104,acceptable,"[""static/manual deterministic policy selected the smallest approved acceptable profile""]",,3,python_resource_getrusage,0,20260719T140431Z-matrix-aed48949-static_manual-boundary_below_0_5_ambiguous-r03,1.0.0,True,"[""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-static_manual-boundary_below_0_5_ambiguous-r03/boundary_below_0_5_ambiguous/workload_stdout.jsonl"",""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-static_manual-boundary_below_0_5_ambiguous-r03/boundary_below_0_5_ambiguous/workload_stderr.txt""]",0.001774,False,2026-07-19T14:05:22Z,boundary_below_0_5_ambiguous,0.001774
small,boundary,completed,"{""dataset_size_signal_used"":false,""detected_terms"":[],""hint_count"":0,""raw_context_available"":false,""raw_context_stored"":false}",500,100,,0.49,local-benchmark-orbstack-no-metrics,,False,,0,Completed,"[""small"",""medium""]",boundary_low_signal,"[""small""]",fea62042374075e0abc724d2dfcd7752cb3bf865,Maybe inspect something briefly; I am not sure yet.,{},366,244,11.619048,static_manual,True,False,True,False,False,,21,,[],0,202607194105,acceptable,"[""static/manual deterministic policy selected the smallest approved acceptable profile""]",,4,python_resource_getrusage,0,20260719T140431Z-matrix-aed48949-static_manual-boundary_below_0_5_ambiguous-r04,1.0.0,True,"[""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-static_manual-boundary_below_0_5_ambiguous-r04/boundary_below_0_5_ambiguous/workload_stdout.jsonl"",""experiments/raw/20260719T140431Z-matrix-aed48949/20260719T140431Z-matrix-aed48949-static_manual-boundary_below_0_5_ambiguous-r04/boundary_below_0_5_ambiguous/workload_stderr.txt""]",0.001758,False,2026-07-19T14:05:22Z,boundary_below_0_5_ambiguous,0.001758
