cpu_request_m,cpu_request_to_peak_ratio,memory_request_mi,memory_request_to_peak_ratio,method,peak_cpu_m,peak_memory_mi,repeat_index,resource_measurement_source,run_id,workload_id
100,,244,11.619048,intent_only,,21,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-data_dataframe_join_medium-r01,data_dataframe_join_medium
100,,244,11.619048,intent_only,,21,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-data_dataframe_join_medium-r02,data_dataframe_join_medium
100,,244,11.619048,intent_only,,21,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-data_dataframe_join_medium-r03,data_dataframe_join_medium
100,,244,11.619048,intent_only,,21,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-data_dataframe_join_medium-r04,data_dataframe_join_medium
500,,732,34.857143,context_aware,,21,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-data_dataframe_join_medium-r00,data_dataframe_join_medium
500,,732,34.857143,context_aware,,21,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-data_dataframe_join_medium-r01,data_dataframe_join_medium
500,,732,34.857143,context_aware,,21,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-data_dataframe_join_medium-r02,data_dataframe_join_medium
500,,732,34.857143,context_aware,,21,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-data_dataframe_join_medium-r03,data_dataframe_join_medium
500,,732,34.857143,context_aware,,21,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-data_dataframe_join_medium-r04,data_dataframe_join_medium
1500,,1464,69.714286,static_manual,,21,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-data_large_aggregation-r00,data_large_aggregation
1500,,1464,73.2,static_manual,,20,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-data_large_aggregation-r01,data_large_aggregation
1500,,1464,73.2,static_manual,,20,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-data_large_aggregation-r02,data_large_aggregation
1500,,1464,73.2,static_manual,,20,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-data_large_aggregation-r03,data_large_aggregation
1500,,1464,73.2,static_manual,,20,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-data_large_aggregation-r04,data_large_aggregation
500,,732,34.857143,intent_only,,21,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-data_large_aggregation-r00,data_large_aggregation
500,,732,36.6,intent_only,,20,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-data_large_aggregation-r01,data_large_aggregation
500,,732,36.6,intent_only,,20,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-data_large_aggregation-r02,data_large_aggregation
500,,732,36.6,intent_only,,20,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-data_large_aggregation-r03,data_large_aggregation
500,,732,36.6,intent_only,,20,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-data_large_aggregation-r04,data_large_aggregation
1500,,1464,73.2,context_aware,,20,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-data_large_aggregation-r00,data_large_aggregation
1500,,1464,69.714286,context_aware,,21,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-data_large_aggregation-r01,data_large_aggregation
1500,,1464,73.2,context_aware,,20,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-data_large_aggregation-r02,data_large_aggregation
1500,,1464,73.2,context_aware,,20,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-data_large_aggregation-r03,data_large_aggregation
1500,,1464,73.2,context_aware,,20,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-data_large_aggregation-r04,data_large_aggregation
500,,732,34.857143,static_manual,,21,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-data_pandas_read_transform-r00,data_pandas_read_transform
